budget,task_id,seed,baseline_SUN,full_SUN,SUN_delta,baseline_AUDC,full_AUDC,AUDC_delta,baseline_mSUN,full_mSUN,baseline_raw_result_sha256,full_raw_result_sha256
10,Ag-Nd-Pd-Pt-Tb,1,4,5,1,0.5,0.57,0.06999999999999995,0.4,0.5,c01d8a3159c8432f2090355e6f739ebbe5bd4c48241e17eeb31b055de4cc443e,6064bd564b46ec21f0651410594e0d80889658bfa551f595a78827dfefd8b7b4
10,Al-Hg-K-Mg-W,1,0,0,0,0.0,0.0,0.0,0.0,0.0,29e92d75848cabb4f068fb3e34d83a07202a6b45895069a2d8d416e31a09277d,19903342d3307b806507c2f17045307efbbdfafe07ee4ef734fe0a110d3500ca
10,Al-Li-V,1,0,2,2,0.0,0.18,0.18,0.0,0.2,57c2ba5dab897b80b3ac22f10de9555ab27a60428ce66e32a37d59e2ba2da569,4a48578474376701b499ad706f1ef7be39348db3c1169b95489eada9cafa670f
10,Al-Lu-Pt-Rb-Sm,1,0,7,7,0.0,0.83,0.83,0.0,0.7,d6b3c60292fee58b82f2fc2e058b9257a869952c8fd58a8d5d7f59bf25c7760f,dee27b9b08f2629fb0d3e140a09a1866f618c4496038389c1b0bd20a077ba971
10,Al-V-Zn,1,6,4,-2,0.68,0.32,-0.36000000000000004,0.6,0.4,d9e2464ee43fce63fc9519dbbc1c6d77ec0fe14593ec693e80ec19ab8030675b,8f68cef15d506e2a1d969bb879891276c6e6c480232a595dcc2cda61879394cc
10,Au-Cr-Cs-Dy,1,0,0,0,0.0,0.0,0.0,0.0,0.0,68625fe734e288b4d63eb68e7e0dadc81fd3480d96b5856a103ef21a1f6195cd,851f16288bf92234bc9e9186c82ee6c52dff0924ed1f0a90ad786b0832ca1893
10,Au-K-Tb,1,6,0,-6,0.8,0.0,-0.8,0.6,0.0,7adc7937119dbda02df3641d0bb46a2a9dc11cac88d0e17201919b77372a223b,4b05943120082ed5477d95a2a7b31583961010694bf2b9195632b6867b10b110
10,Au-Tb-V-Y,1,0,0,0,0.0,0.0,0.0,0.0,0.0,b25deccc3fb13fe99fdd930d2b91e14370b3ae6b22014c17f11bf0ac20f23abf,2a66e89b9346a79a78b9504d653770c57937414bfdc86b2af25bf48d584545a6
10,Ba-Be-Hf-Li,1,0,0,0,0.0,0.0,0.0,0.0,0.0,050264829461bc48d02b09c47d138f5baa6471039f85cd1e1cbfe1f2d616ad99,c2e21042c0200687cde81805540dc603b1d8b32ffa9ee4b01d10c18658124dfc
10,Ba-Nd-Ni-W,1,0,0,0,0.0,0.0,0.0,0.0,0.0,7da069925755a044509ddd975340caf0fbdde6e6238747c817b22135c3d6ba9f,02bfb09bce61c38a836805fb5072f2c7c66e270e2edae36fa63e99a8978e24d8
10,Ca-Fe-Gd-Pb-Tb,1,1,2,1,0.09,0.1,0.010000000000000009,0.1,0.2,eef2ce755475ebf5a03287236ee3282037542f20c2fba58a6225636621a85329,5853d007e7d62748821ad1c77b623e3f866f8d9321718b1579cabfd29ec267d8
10,Ca-Pd-Sn-W,1,0,0,0,0.0,0.0,0.0,0.0,0.0,926ecc3dc439ec56dec7f410e3dc8543d6daddfef69a1248dc3ac86f4920f2d8,eecfd2fc7d16ebd7dbed208700978b151f939c5eeb9546cbbb1c3bb06f0a0332
10,Cd-Gd-Mn-Na-Ta,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0b6b35e565e3330ac1b08d6678b6fd0675a76cf1d884cc35014a77b076391db2,41a5018ec51c53e2fdce58ae4b3879eb948d8b3e6b907b770c45a86605406f57
10,Cd-Li-Nd-Ti-W,1,0,7,7,0.0,0.67,0.67,0.0,0.7,90b27bfd8d21deb607b538538b071b1d1d6641a4c2fdf476c212e75dd4c4a429,ad8d8d20da05d24e52920b5f8764dbf3fdcf972cff78fc204ce586fa95e23b4f
10,Ce-Er-Pb-Rh,1,1,4,3,0.19,0.58,0.38999999999999996,0.1,0.4,52923b01a3586ff9854efe035313ae58bbea315719fb818c970522a9535f2696,a3f02b08cf2b3b6896beddf7e96d39e1175f8485f5d1085f4f9ba105eb3c7428
10,Ce-Ir-Pt-Sn,1,3,0,-3,0.33,0.0,-0.33,0.3,0.0,3a1a9eb29aaade7ac63dd88edd42e25348a55735db4de4e858af162852d22f0b,ea08caf4d4faaa79e11dac45cebeb04fb3640c96af747db04960f26a57899ab9
10,Co-Dy-Ta-Y,1,1,0,-1,0.09,0.0,-0.09,0.1,0.0,6d45b08a8963600e9fe29f1db3369aafddb45ebe90acd51740de9e70e51976e6,611321000d031aee3a17ae7e988b605e16be9b405cf7865c0f2af2f7b43703fe
10,Co-Dy-W,1,0,0,0,0.0,0.0,0.0,0.0,0.0,22e97770bee728533254829a98b677399b1052b645c6fdddbdd4f5a0587ac27a,6d4b4fa1b4845a7fbe14949752650e69951284e24d0169801d6728fb6366d6ca
10,Co-Hg-Mg-Sr-W,1,0,0,0,0.0,0.0,0.0,0.0,0.0,1a5a3cf0a5e41692da9533751985e9953095811703a9a0bb12617dd5855e334b,e2293bf9d923e971476f2649448d53f80e2d6b2ca6c34d09339d94b610fdda53
10,Co-Mg-Na,1,0,0,0,0.0,0.0,0.0,0.0,0.0,96006847f53af43ff19525c1d4fdc8bac39b6a0234b3d347375de4f3f18af4ac,60f75b2fc8286f89d8aa3906662fcfb5b8b789ef5d396d19cf68941e2b578c6e
