job_id,budget,task_id,method,seed,candidate_attempt,SUN
all30-final-made-7c0efd227bf52418fb36aad2,10,Ag-Nd-Pd-Pt-Tb,baseline,1,0,0
all30-final-made-7c0efd227bf52418fb36aad2,10,Ag-Nd-Pd-Pt-Tb,baseline,1,1,0
all30-final-made-7c0efd227bf52418fb36aad2,10,Ag-Nd-Pd-Pt-Tb,baseline,1,2,1
all30-final-made-7c0efd227bf52418fb36aad2,10,Ag-Nd-Pd-Pt-Tb,baseline,1,3,1
all30-final-made-7c0efd227bf52418fb36aad2,10,Ag-Nd-Pd-Pt-Tb,baseline,1,4,2
all30-final-made-7c0efd227bf52418fb36aad2,10,Ag-Nd-Pd-Pt-Tb,baseline,1,5,3
all30-final-made-7c0efd227bf52418fb36aad2,10,Ag-Nd-Pd-Pt-Tb,baseline,1,6,4
all30-final-made-7c0efd227bf52418fb36aad2,10,Ag-Nd-Pd-Pt-Tb,baseline,1,7,4
all30-final-made-7c0efd227bf52418fb36aad2,10,Ag-Nd-Pd-Pt-Tb,baseline,1,8,4
all30-final-made-7c0efd227bf52418fb36aad2,10,Ag-Nd-Pd-Pt-Tb,baseline,1,9,4
all30-final-made-7c0efd227bf52418fb36aad2,10,Ag-Nd-Pd-Pt-Tb,baseline,1,10,4
all30-final-made-699a176cb7e28a04547e3e15,10,Ag-Nd-Pd-Pt-Tb,esopt_graph_risk,1,0,0
all30-final-made-699a176cb7e28a04547e3e15,10,Ag-Nd-Pd-Pt-Tb,esopt_graph_risk,1,1,1
all30-final-made-699a176cb7e28a04547e3e15,10,Ag-Nd-Pd-Pt-Tb,esopt_graph_risk,1,2,1
all30-final-made-699a176cb7e28a04547e3e15,10,Ag-Nd-Pd-Pt-Tb,esopt_graph_risk,1,3,2
all30-final-made-699a176cb7e28a04547e3e15,10,Ag-Nd-Pd-Pt-Tb,esopt_graph_risk,1,4,3
all30-final-made-699a176cb7e28a04547e3e15,10,Ag-Nd-Pd-Pt-Tb,esopt_graph_risk,1,5,3
all30-final-made-699a176cb7e28a04547e3e15,10,Ag-Nd-Pd-Pt-Tb,esopt_graph_risk,1,6,4
all30-final-made-699a176cb7e28a04547e3e15,10,Ag-Nd-Pd-Pt-Tb,esopt_graph_risk,1,7,4
all30-final-made-699a176cb7e28a04547e3e15,10,Ag-Nd-Pd-Pt-Tb,esopt_graph_risk,1,8,4
all30-final-made-699a176cb7e28a04547e3e15,10,Ag-Nd-Pd-Pt-Tb,esopt_graph_risk,1,9,4
