arm,seed,budget,n_fixed_systems,SUN_total,SUN_macro_mean,AUDC_macro_mean,mSUN_macro_mean
baseline_reference,2,10,5,8,1.6,0.152,0.16
baseline_reference,3,10,5,7,1.4,0.154,0.14
baseline_reference,4,10,5,7,1.4,0.162,0.13999999999999999
uq_only_support_aware,2,10,5,10,2,0.224,0.2
uq_only_support_aware,3,10,5,11,2.2,0.238,0.22
uq_only_support_aware,4,10,5,4,0.8,0.11599999999999999,0.08
es_only_independent,2,10,5,6,1.2,0.16,0.12000000000000001
es_only_independent,3,10,5,6,1.2,0.16,0.12
es_only_independent,4,10,5,5,1,0.074,0.1
full_support_aware,2,10,5,6,1.2,0.09999999999999999,0.12000000000000001
full_support_aware,3,10,5,7,1.4,0.194,0.13999999999999999
full_support_aware,4,10,5,7,1.4,0.138,0.14
